,Unnamed: 0,tic,high,low,open,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,date
1002,1002,BVH,0.257142857,0.264311815,0.267554479,0.271411339,0.109127253,0.480273572,0.266473033,0.326193005,0.60455918,0.492908745,0.284309319,0.265339177,0.205706868,0.068796728,0.048706289,2014-03-10
1003,1003,BVH,0.286904762,0.275274056,0.277239709,0.299155609,0.275416702,0.493731051,0.272961615,0.323744142,0.651964358,0.67866974,0.449735036,0.269340701,0.208028559,0.076954448,0.043950651,2014-03-11
1004,1004,BVH,0.322619048,0.305724726,0.309927361,0.313630881,0.199837127,0.510083593,0.281624468,0.317150055,0.673114652,0.857457849,0.575576113,0.27258003,0.210649824,0.072467706,0.034786217,2014-03-12
1005,1005,BVH,0.304761905,0.299634592,0.31598063,0.313630881,0.144735172,0.521999219,0.288712416,0.312596047,0.673114652,0.734538566,0.513867255,0.274390244,0.213271089,0.09626103,0.043630955,2014-03-13
1006,1006,BVH,0.298809524,0.298416565,0.309927361,0.297949337,0.121602927,0.52324083,0.29166088,0.311659809,0.628812724,0.652851724,0.501296033,0.275200076,0.215667674,0.118014944,0.029965455,2014-03-14
1007,1007,BVH,0.28452381,0.292326431,0.300242131,0.290711701,0.125672646,0.51990808,0.293453353,0.311705217,0.609654788,0.575444514,0.437493244,0.276676829,0.218189081,0.088375252,0.072058728,2014-03-17
1008,1008,BVH,0.276190476,0.287454324,0.291767554,0.287092883,0.074890008,0.514659102,0.29451681,0.31180224,0.600196466,0.531804329,0.387079977,0.278010671,0.220510772,0.073147518,0.053877301,2014-03-18
1009,1009,BVH,0.280952381,0.289890378,0.289346247,0.287092883,0.079312971,0.509598317,0.295311049,0.311809991,0.600196466,0.536898004,0.409217213,0.279106326,0.222907357,0.081305226,0.0327502,2014-03-19
1010,1010,BVH,0.273809524,0.28136419,0.289346247,0.278648975,0.123163973,0.500940031,0.295548452,0.314285919,0.577812336,0.486611958,0.319986105,0.279201601,0.225229049,0.073147518,0.028184214,2014-03-20
1011,1011,BVH,0.275,0.275274056,0.280871671,0.271411339,0.421782723,0.49010509,0.295222095,0.31675202,0.559316215,0.460966072,0.259107859,0.279773247,0.227351025,0.079673684,0.030659478,2014-03-21
1012,1012,BVH,0.275,0.283800244,0.286924939,0.282267793,0.077610204,0.485836738,0.295532443,0.319277987,0.58016986,0.493303978,0.259107859,0.280773628,0.229722645,0.080897344,0.074296953,2014-03-24
1013,1013,BVH,0.273809524,0.271619976,0.290556901,0.267792521,0.112249344,0.475353934,0.295532443,0.319277987,0.544622106,0.435377299,0.139040452,0.281392912,0.231819657,0.066349422,0.078706224,2014-03-25
1014,1014,BVH,0.258333333,0.249695493,0.269975787,0.246079614,0.256138421,0.456862333,0.296643598,0.31517346,0.497337206,0.323040207,0.036892425,0.28005907,0.233492274,0.078721955,0.044552426,2014-03-26
1015,1015,BVH,0.239285714,0.246041413,0.248184019,0.247285887,0.119919198,0.442628158,0.29740953,0.31272903,0.49983291,0.292792478,0.06276833,0.278820503,0.235089997,0.07450713,0.027715746,2014-03-27
1016,1016,BVH,0.245238095,0.25091352,0.249394673,0.252110977,0.098394534,0.433521479,0.297790566,0.310887554,0.509901825,0.33048362,0.014189624,0.277915396,0.2369124,0.071651929,0.033885047,2014-03-28
1017,1017,BVH,0.245238095,0.243605359,0.254237288,0.242460796,0.104241053,0.422017073,0.298784261,0.307753668,0.489513323,0.309569608,0.068757244,0.276772104,0.238585016,0.06444595,0.028826078,2014-03-31
1018,1018,BVH,0.228571429,0.214372716,0.244552058,0.219541616,0.158860733,0.402789669,0.302378271,0.299545648,0.445725523,0.215605187,0.246982877,0.274580793,0.239758344,0.053840924,0.031357582,2014-04-01
1019,1019,BVH,0.214285714,0.205846529,0.222760291,0.219541616,0.135341399,0.38805199,0.305262811,0.292056294,0.445725523,0.203363399,0.289385416,0.27224657,0.240981601,0.053704958,0.02931422,2014-04-02
1020,1020,BVH,0.211904762,0.22046285,0.220338983,0.224366707,0.070763178,0.379172779,0.307027294,0.286195851,0.456675193,0.246510148,0.289385416,0.27105564,0.242504431,0.057511889,0.028322447,2014-04-03
1021,1021,BVH,0.214285714,0.22046285,0.230024213,0.218335344,0.080791522,0.370095641,0.308982406,0.279138271,0.445299914,0.256832241,0.266096549,0.269674162,0.243827546,0.065533645,0.02287668,2014-04-04
1022,1022,BVH,0.221428571,0.221680877,0.221549637,0.23522316,0.085442931,0.37128827,0.308675892,0.27536449,0.48262825,0.300646008,0.196773085,0.268816692,0.245500162,0.08742351,0.019806352,2014-04-07
1023,1023,BVH,0.228571429,0.236297199,0.237288136,0.236429433,0.057949065,0.373451414,0.304783838,0.272881924,0.485188157,0.338340995,0.130595263,0.267578125,0.247172779,0.078178108,0.014410324,2014-04-08
1024,1024,BVH,0.227380952,0.236297199,0.238498789,0.234016888,0.060777139,0.37472059,0.297294153,0.272810226,0.480271594,0.34149569,0.130595263,0.266149009,0.248695609,0.091774301,0.019757295,2014-04-10
1025,1025,BVH,0.217857143,0.225334957,0.231234867,0.226779252,0.084677215,0.373101973,0.288645459,0.273309427,0.465628415,0.318450872,0.205824551,0.264815168,0.250043688,0.107273965,0.023010543,2014-04-11
1026,1026,BVH,0.219047619,0.224116931,0.228813559,0.220747889,0.056301295,0.369782519,0.282649309,0.271710313,0.453703303,0.321237447,0.213903632,0.263100229,0.251266945,0.094765467,0.022845227,2014-04-14
1027,1027,BVH,0.211904762,0.211936663,0.220338983,0.208685163,0.06603139,0.362452172,0.278009501,0.267920674,0.430872311,0.298964299,0.291003439,0.261099466,0.2521407,0.087967357,0.039299306,2014-04-15
1028,1028,BVH,0.195238095,0.188794153,0.210653753,0.185765983,0.10408664,0.347173843,0.275659919,0.259155119,0.392091479,0.252200637,0.408776619,0.258431784,0.252465237,0.068524811,0.019805492,2014-04-16
1029,1029,BVH,0.18452381,0.188794153,0.194915254,0.194209891,0.076996785,0.339966587,0.270295874,0.254996928,0.412253151,0.26870067,0.408776619,0.256049924,0.253064383,0.057375924,0.026674329,2014-04-17
1030,1030,BVH,0.163095238,0.166869671,0.176755448,0.164053076,0.07140621,0.312977899,0.266290755,0.235798862,0.366700433,0.24709078,0.501508593,0.249094893,0.25321417,0.055880347,0.09049503,2014-04-21
1031,1031,BVH,0.155952381,0.151035323,0.165859564,0.168878166,0.135984432,0.30534731,0.259621696,0.230868446,0.378302795,0.252777458,0.556946753,0.245045732,0.253289063,0.05506457,0.023610912,2014-04-22
1032,1032,BVH,0.152380952,0.153471376,0.152542373,0.155609168,0.069147136,0.294830367,0.256188823,0.222167954,0.359562864,0.257719188,0.556946753,0.239376905,0.252415308,0.056152277,0.026838021,2014-04-23
1033,1033,BVH,0.142857143,0.151035323,0.157384988,0.148371532,0.103437262,0.284888042,0.256025711,0.211176285,0.349785713,0.255217745,0.565442708,0.23285061,0.250692763,0.056832077,0.011243767,2014-04-24
1034,1034,BVH,0.147619048,0.15590743,0.15496368,0.155609168,0.066314832,0.282027994,0.253142971,0.204159655,0.367575448,0.277655671,0.503765034,0.226610137,0.248371071,0.066893269,0.016179887,2014-04-25
1035,1035,BVH,0.146428571,0.147381242,0.157384988,0.145958987,0.093320078,0.277144095,0.248961354,0.197054048,0.35420845,0.274730995,0.537815109,0.220607851,0.245649949,0.06566961,0.029554773,2014-04-28
1036,1036,BVH,0.13452381,0.142509135,0.146489104,0.141133896,0.057227769,0.272903139,0.245571996,0.189544188,0.347668921,0.274231736,0.556407718,0.214700838,0.243328257,0.062134596,0.024959815,2014-04-29
1037,1037,BVH,0.132142857,0.114494519,0.146489104,0.117008444,0.070555885,0.260522544,0.247331674,0.175677919,0.317362385,0.256219742,0.64434695,0.207983994,0.240507277,0.056424194,0.025174608,2014-05-05
1038,1038,BVH,0.104761905,0.09500609,0.118644068,0.104945718,0.102625011,0.24733814,0.24880273,0.160778891,0.303670408,0.240856064,0.69004092,0.200790777,0.237311831,0.063358256,0.030930321,2014-05-06
1039,1039,BVH,0.120238095,0.105968331,0.105326877,0.132689988,0.114258821,0.251600852,0.244964428,0.154916255,0.368494838,0.289475015,0.520314754,0.195026677,0.234341064,0.057919771,0.389172833,2014-05-07
1040,1040,BVH,0.120238095,0.104750305,0.134382567,0.102533172,0.188848464,0.24340928,0.243608035,0.143293689,0.333576415,0.283631579,0.524241943,0.18835747,0.231145617,0.058327666,0.074188889,2014-05-08
