,Unnamed: 0,high,low,open,close,volume,tic,date,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
3435,3435,46.3,46.1,46.1,46.1,13290,BVH,2010-06-14,-0.1258739420699726,48.94578332536642,43.49421667463358,53.23071629630086,-36.2473347547975,37.85748976346055,47.17999999999999,45.52166666666666,28.57999992370605,0.0
3469,3469,46.1,45.8,46.1,45.9,199920,BVH,2010-06-15,-0.1368862902596319,48.59716866940492,43.58283133059508,52.70160895780897,-42.93935369632543,39.65767241636536,47.07666666666667,45.57166666666667,25.8700008392334,0.0
3503,3503,46.9,43.7,45.9,43.7,189160,BVH,2010-06-16,-0.3194127034001468,48.30421227581078,43.395787724189226,47.3463118402218,-89.82035928143681,50.40758176107101,46.903333333333336,45.585,25.920000076293945,0.0
3537,3537,45.7,44.0,44.0,44.0,476400,BVH,2010-06-17,-0.4348506081530914,47.87268887152143,43.37731112847857,48.09040813456604,-93.5179610676298,50.40758176107101,46.75333333333334,45.59333333333333,25.049999237060547,0.0
3571,3571,44.9,41.8,44.0,41.8,349500,BVH,2010-06-18,-0.6958017174555167,48.21893311831401,42.601066881686,43.43396305303934,-159.62441314553985,59.12472544297693,46.53,45.531666666666666,23.950000762939453,0.0
3605,3605,43.8,42.5,42.8,43.8,39540,BVH,2010-06-21,-0.7328052387242536,48.218933118314006,42.60106688168599,48.15496087997407,-128.54349951124132,59.12472544297693,46.373333333333335,45.528333333333336,24.8799991607666,0.0
3639,3639,45.0,43.9,44.2,43.9,235310,BVH,2010-06-22,-0.7454693826192269,48.23763983529911,42.542360164700895,48.37780837029396,-84.99369482976007,43.41268976086174,46.21333333333334,45.56,27.049999237060547,0.0
3673,3673,44.4,43.9,44.0,43.9,155440,BVH,2010-06-23,-0.7468958201911988,48.24324753080831,42.5267524691917,48.37780837029396,-88.82051282051299,43.41268976086174,46.063333333333325,45.56166666666666,26.90999984741211,0.0
3707,3707,43.9,43.1,43.1,43.6,470430,BVH,2010-06-24,-0.7634297490862139,48.26789842357095,42.33210157642905,47.71929839367336,-106.973058637084,47.371391735306176,45.833333333333336,45.54666666666666,29.739999771118164,0.0
3741,3741,43.9,43.1,43.1,43.9,320580,BVH,2010-06-25,-0.7437549776614105,47.96001482575877,42.279985174241226,48.44525072629124,-96.04550977576493,47.37139173530618,45.63,45.568333333333335,28.530000686645508,0.0
3775,3775,45.5,44.0,44.0,45.5,98370,BVH,2010-06-28,-0.5922446850650402,47.79070927972276,42.319290720277245,52.11383688501026,-22.84962316066527,27.05756789269753,45.48,45.61,29.0,0.0
3809,3809,46.0,45.5,45.5,46.0,75690,BVH,2010-06-29,-0.4269093747809762,47.66534257964456,42.36465742035544,53.19063932779179,29.26389067938637,21.46460476635361,45.39666666666666,45.66,34.130001068115234,0.0
3843,3843,46.0,44.1,44.1,46.0,28250,BVH,2010-06-30,-0.2925081936746636,47.53450241874905,42.41549758125095,53.19063932779179,9.094754653130124,30.60735000316296,45.313333333333325,45.735,34.540000915527344,0.0
3877,3877,46.0,45.0,45.0,45.5,23800,BVH,2010-07-01,-0.2237569158744179,47.47690782536642,42.42309217463359,51.940724252136114,23.755656108597357,30.60735000316295,45.21333333333333,45.77666666666666,32.86000061035156,0.0
3911,3911,45.5,45.1,45.5,45.1,13780,BVH,2010-07-02,-0.1992479861681175,47.38479201165256,42.425207988347424,50.94988825636955,8.9664936290697,30.60735000316297,45.18,45.81166666666666,30.1200008392334,0.0
3945,3945,45.0,44.4,44.4,44.6,102340,BVH,2010-07-06,-0.2419180534989777,47.189034893672016,42.39096510632798,49.744932210208994,-33.564628045829224,42.806746206701504,45.21,45.861666666666665,29.649999618530277,0.0
3979,3979,44.6,44.4,44.6,44.5,60770,BVH,2010-07-07,-0.25364615217714,47.04762896636822,42.38237103363177,49.494808894660295,-48.53404008613562,42.806746206701504,45.22666666666667,45.87,26.84000015258789,0.0
4013,4013,45.0,44.4,45.0,44.4,43150,BVH,2010-07-08,-0.2679209166162195,46.89054288015408,42.37945711984593,49.238693836023856,-42.75374516074756,37.19503835628221,45.196666666666665,45.89833333333333,25.709999084472656,0.0
4047,4047,45.9,44.4,44.4,45.8,119150,BVH,2010-07-09,-0.164377551719383,46.83820221184517,42.40179778815483,52.77764368910592,19.83353993270789,25.347996070884317,45.13999999999999,45.94500000000001,24.979999542236328,0.0
4081,4081,45.8,44.1,45.8,44.1,18560,BVH,2010-07-12,-0.2169854229631198,46.63520808980135,42.40479191019864,48.527769327751365,-31.549295774647412,27.576400834051068,45.05,45.97,24.43000030517578,0.0
4115,4115,46.0,44.5,45.0,46.0,81570,BVH,2010-07-13,-0.1041706561998268,46.654368574558895,42.3956314254411,52.91173107380562,42.248062015503656,24.91902110953041,45.02333333333333,46.02,24.559999465942383,0.0
4149,4149,46.5,45.9,46.0,46.1,202430,BVH,2010-07-14,-0.0066191177438241,46.84784505033665,42.44215494966334,53.12908468324616,103.10192023633682,18.33199819613947,45.0,46.071666666666665,24.88999938964844,0.0
