,date,close,open,high,low,volumn,change
2390,2012-09-14,398.87,398.13,400.09,395.14,46.50K,1.92%
2389,2012-09-17,401.75,400.55,405.27,400.07,38.89K,0.72%
2388,2012-09-18,394.51,403.48,405.05,392.98,41.84K,-1.80%
2387,2012-09-19,394.55,391.05,396.17,390.89,44.84K,0.01%
2386,2012-09-20,389.28,393.05,393.42,385.9,58.64K,-1.34%
2385,2012-09-21,395.48,391.0,395.55,391.0,101.29K,1.59%
2384,2012-09-24,390.37,392.16,394.54,390.08,27.74K,-1.29%
2383,2012-09-25,391.77,391.17,394.06,390.14,23.94K,0.36%
2382,2012-09-26,395.12,392.51,397.86,392.51,23.83K,0.86%
2381,2012-09-27,393.34,395.66,396.67,391.34,28.63K,-0.45%
2380,2012-09-28,392.57,392.11,393.91,390.99,37.10K,-0.20%
2379,2012-10-01,386.55,391.74,391.86,386.42,29.92K,-1.53%
2378,2012-10-02,384.32,386.78,387.62,384.2,26.08K,-0.58%
2377,2012-10-03,385.37,385.61,387.6,383.07,36.72K,0.27%
2376,2012-10-04,384.51,385.68,386.66,383.62,25.98K,-0.22%
2375,2012-10-05,388.16,384.78,388.16,384.65,27.64K,0.95%
2374,2012-10-08,393.45,387.83,393.45,387.83,35.59K,1.36%
2373,2012-10-09,393.67,394.36,394.87,392.26,38.75K,0.06%
2372,2012-10-10,394.66,392.38,394.66,391.75,37.97K,0.25%
2371,2012-10-11,394.19,395.32,397.55,393.87,45.28K,-0.12%
2370,2012-10-12,392.54,394.17,395.01,392.26,55.38K,-0.42%
2369,2012-10-15,391.56,392.88,394.19,390.72,36.04K,-0.25%
2368,2012-10-16,399.22,392.6,399.22,392.6,41.18K,1.96%
2367,2012-10-17,397.02,399.22,400.97,395.91,59.13K,-0.55%
2366,2012-10-18,398.51,395.94,399.55,395.94,34.99K,0.38%
2365,2012-10-19,398.23,399.52,400.46,394.98,52.60K,-0.07%
2364,2012-10-22,397.0,397.77,398.34,394.69,45.95K,-0.31%
2363,2012-10-23,397.71,397.27,399.22,395.89,35.30K,0.18%
2362,2012-10-24,395.45,397.69,398.43,395.24,34.21K,-0.57%
2361,2012-10-25,389.92,393.79,394.54,389.92,43.00K,-1.40%
2360,2012-10-26,391.7,390.05,393.13,389.5,22.93K,0.46%
2359,2012-10-29,391.36,390.96,392.6,390.63,29.76K,-0.09%
2358,2012-10-30,389.86,391.13,392.17,389.64,23.08K,-0.38%
2357,2012-10-31,388.42,388.5,390.05,387.39,57.63K,-0.37%
2356,2012-11-01,387.95,388.1,389.74,387.95,46.10K,-0.12%
2355,2012-11-02,375.26,378.74,380.33,374.98,59.15K,-3.27%
2354,2012-11-05,377.27,372.39,378.45,372.39,30.99K,0.54%
2353,2012-11-06,376.95,377.27,379.05,375.12,46.23K,-0.08%
2352,2012-11-07,380.9,377.83,381.22,375.75,31.15K,1.05%
2351,2012-11-08,385.6,380.32,385.6,380.13,23.29K,1.23%
2350,2012-11-09,386.71,385.61,386.79,383.72,24.76K,0.29%
2349,2012-11-12,388.62,386.71,388.94,385.66,41.91K,0.49%
2348,2012-11-13,385.22,387.52,388.43,385.15,28.50K,-0.87%
2347,2012-11-14,387.71,384.74,389.4,384.61,23.96K,0.65%
2346,2012-11-15,386.91,389.84,390.65,386.6,28.76K,-0.21%
2345,2012-11-16,385.71,385.83,386.25,383.16,22.58K,-0.31%
2344,2012-11-19,383.32,384.83,386.22,382.42,22.55K,-0.62%
2343,2012-11-20,385.1,383.23,385.37,381.84,24.47K,0.46%
2342,2012-11-21,383.87,385.18,385.8,382.72,21.61K,-0.32%
2341,2012-11-22,383.22,383.44,384.1,382.57,18.23K,-0.17%
2340,2012-11-23,381.71,383.22,384.25,381.14,21.45K,-0.39%
2339,2012-11-26,377.9,382.43,382.62,377.82,22.36K,-1.00%
2338,2012-11-27,376.89,377.77,378.62,376.08,18.73K,-0.27%
2337,2012-11-28,375.79,376.13,377.32,374.15,29.71K,-0.29%
2336,2012-11-29,378.2,377.45,378.62,376.93,15.95K,0.64%
2335,2012-11-30,377.82,380.01,380.18,377.52,45.54K,-0.10%
2334,2012-12-03,379.27,377.94,379.27,375.78,21.90K,0.38%
2333,2012-12-04,382.1,379.02,382.1,377.89,29.90K,0.75%
2332,2012-12-05,385.69,382.1,387.05,382.1,40.54K,0.94%
2331,2012-12-06,385.69,385.59,386.62,384.53,36.30K,0.00%
2330,2012-12-07,383.8,386.44,386.6,383.8,33.52K,-0.49%
2329,2012-12-10,386.69,384.84,387.67,383.53,44.50K,0.75%
2328,2012-12-11,389.37,386.25,389.37,385.81,40.40K,0.69%
2327,2012-12-12,391.08,388.41,393.13,386.46,47.17K,0.44%
2326,2012-12-13,391.19,393.04,393.81,390.57,44.11K,0.03%
2325,2012-12-14,392.21,392.23,394.61,392.05,43.16K,0.26%
2324,2012-12-17,393.63,391.37,395.3,391.31,67.40K,0.36%
2323,2012-12-18,393.39,396.21,396.45,392.34,52.37K,-0.06%
2322,2012-12-19,398.59,395.84,398.59,395.34,72.58K,1.32%
2321,2012-12-20,399.68,399.13,400.71,397.86,82.89K,0.27%
2320,2012-12-21,396.78,397.49,400.27,394.27,76.82K,-0.73%
2319,2012-12-24,399.71,397.25,400.22,396.57,73.07K,0.74%
2318,2012-12-25,401.34,401.01,401.72,398.09,50.85K,0.41%
2317,2012-12-26,406.1,399.43,406.1,398.31,59.62K,1.19%
2316,2012-12-27,409.97,408.32,410.68,406.58,79.45K,0.95%
2315,2012-12-28,413.73,409.49,413.73,408.32,84.32K,0.92%
2314,2013-01-02,418.35,415.5,419.05,414.41,64.29K,1.12%
2313,2013-01-03,419.27,420.68,420.68,413.68,99.83K,0.22%
2312,2013-01-04,426.06,418.75,426.48,417.5,64.85K,1.62%
2311,2013-01-07,434.19,428.53,434.64,426.86,78.32K,1.91%
2310,2013-01-08,447.16,437.25,447.16,437.15,121.10K,2.99%
2309,2013-01-09,448.77,447.16,457.75,442.26,134.77K,0.36%
2308,2013-01-10,460.12,447.99,460.12,444.08,79.40K,2.53%
2307,2013-01-11,462.69,468.39,469.16,461.74,75.12K,0.56%
2306,2013-01-14,458.97,458.08,462.08,455.51,69.55K,-0.80%
2305,2013-01-15,461.42,459.24,461.42,455.93,88.78K,0.53%
2304,2013-01-16,465.25,462.17,470.34,462.17,96.57K,0.83%
2303,2013-01-17,456.76,465.66,466.55,456.76,96.33K,-1.82%
2302,2013-01-18,454.16,458.21,459.82,450.28,84.21K,-0.57%
2301,2013-01-21,447.79,453.91,456.34,447.79,58.68K,-1.40%
2300,2013-01-22,442.85,449.01,450.8,441.24,67.33K,-1.10%
2299,2013-01-23,443.37,443.96,447.79,440.48,50.66K,0.12%
2298,2013-01-24,452.4,444.34,452.4,444.19,49.81K,2.04%
2297,2013-01-25,468.09,455.28,468.09,455.25,86.46K,3.47%
2296,2013-01-28,479.6,474.27,485.67,474.27,107.36K,2.46%
2295,2013-01-29,484.01,478.02,484.34,476.33,88.11K,0.92%
2294,2013-01-30,487.6,486.67,490.89,482.76,83.26K,0.74%
2293,2013-01-31,479.79,484.04,485.19,479.79,80.50K,-1.60%
2292,2013-02-01,483.42,477.11,483.42,473.23,76.85K,0.76%
2291,2013-02-04,482.38,487.06,488.96,482.38,56.88K,-0.22%
2290,2013-02-05,477.36,481.82,482.56,477.36,63.41K,-1.04%
2289,2013-02-06,488.36,479.62,488.62,479.62,65.15K,2.30%
2288,2013-02-07,490.62,490.88,493.72,488.03,73.01K,0.46%
2287,2013-02-08,494.03,491.85,495.72,489.64,60.72K,0.70%
2286,2013-02-18,493.95,497.87,497.87,493.95,69.42K,-0.02%
2285,2013-02-19,490.78,493.4,495.39,490.33,104.49K,-0.64%
2284,2013-02-20,494.83,487.99,495.82,487.68,78.55K,0.83%
2283,2013-02-21,476.73,494.83,497.7,476.73,123.31K,-3.66%
2282,2013-02-22,477.69,482.03,487.11,470.23,107.35K,0.20%
2281,2013-02-25,483.69,481.67,483.97,478.3,49.62K,1.26%
2280,2013-02-26,465.05,482.5,482.5,463.64,93.97K,-3.85%
2279,2013-02-27,465.72,465.89,467.5,459.64,71.44K,0.14%
2278,2013-02-28,474.56,465.72,476.41,465.72,53.25K,1.90%
2277,2013-03-01,477.15,476.51,480.39,475.46,55.93K,0.55%
2276,2013-03-04,468.74,477.04,479.06,468.74,74.56K,-1.76%
2275,2013-03-05,462.12,467.36,467.84,461.61,59.79K,-1.41%
2274,2013-03-06,471.09,466.96,471.09,464.19,35.56K,1.94%
2273,2013-03-07,466.63,470.73,472.54,466.63,46.95K,-0.95%
2272,2013-03-08,470.68,468.1,471.75,468.1,31.77K,0.87%
2271,2013-03-11,476.5,471.29,476.79,469.78,56.61K,1.24%
2270,2013-03-12,475.34,475.23,478.67,470.51,60.26K,-0.24%
2269,2013-03-13,473.18,476.43,478.05,471.85,50.26K,-0.45%
2268,2013-03-14,474.6,471.63,474.6,470.81,46.72K,0.30%
2267,2013-03-15,481.35,474.99,481.35,474.45,74.40K,1.42%
2266,2013-03-18,479.13,481.53,482.59,478.54,49.14K,-0.46%
2265,2013-03-19,480.48,478.45,482.21,477.55,35.32K,0.28%
2264,2013-03-20,487.04,481.88,488.94,480.53,52.32K,1.37%
2263,2013-03-21,491.79,488.64,494.57,488.43,57.18K,0.98%
2262,2013-03-22,489.99,492.88,500.59,486.15,54.55K,-0.37%
2261,2013-03-25,493.57,491.76,495.64,488.55,38.34K,0.73%
2260,2013-03-26,489.46,494.19,496.32,489.14,47.04K,-0.83%
2259,2013-03-27,491.26,489.3,492.46,485.34,38.97K,0.37%
2258,2013-03-28,490.67,491.64,495.12,487.67,45.82K,-0.12%
2257,2013-03-29,491.04,487.01,492.96,483.5,38.99K,0.08%
2256,2013-04-01,505.81,490.66,505.81,489.9,55.43K,3.01%
2255,2013-04-02,509.43,507.31,514.1,507.22,70.26K,0.72%
2254,2013-04-03,505.93,509.29,511.59,502.38,57.12K,-0.69%
2253,2013-04-04,497.35,505.54,506.63,497.35,52.18K,-1.70%
2252,2013-04-05,502.58,501.16,503.36,497.83,48.75K,1.05%
2251,2013-04-08,506.66,505.0,507.75,501.91,52.18K,0.81%
2250,2013-04-09,510.49,505.09,512.85,504.16,60.76K,0.76%
2249,2013-04-10,496.5,512.15,518.46,496.5,69.18K,-2.74%
2248,2013-04-11,504.07,501.39,504.51,497.08,52.04K,1.52%
2247,2013-04-12,494.27,505.37,505.9,490.82,52.31K,-1.94%
2246,2013-04-15,480.02,491.65,491.77,478.8,54.83K,-2.88%
2245,2013-04-16,478.07,475.07,479.97,466.56,58.21K,-0.41%
2244,2013-04-17,483.99,482.17,483.99,476.53,30.05K,1.24%
2243,2013-04-18,473.21,483.99,483.99,471.1,38.52K,-2.23%
2242,2013-04-22,468.43,471.81,472.95,466.78,39.69K,-1.01%
2241,2013-04-23,473.69,470.59,475.48,469.13,34.01K,1.12%
2240,2013-04-24,472.89,474.48,475.75,472.89,32.85K,-0.17%
2239,2013-04-25,476.59,474.87,477.8,474.29,37.11K,0.78%
2238,2013-04-26,474.51,477.04,479.12,474.43,31.27K,-0.44%
2237,2013-05-02,473.02,474.54,476.42,472.16,25.84K,-0.31%
2236,2013-05-03,475.24,471.14,475.24,470.81,26.29K,0.47%
2235,2013-05-06,488.32,478.94,488.32,478.94,52.99K,2.75%
2234,2013-05-07,485.58,489.35,491.56,484.39,58.06K,-0.56%
2233,2013-05-08,485.07,486.74,488.04,483.03,63.52K,-0.11%
2232,2013-05-09,486.22,485.44,488.57,485.2,101.30K,0.24%
2231,2013-05-10,486.1,488.1,490.76,484.75,85.57K,-0.02%
2230,2013-05-13,488.93,486.96,490.38,486.96,45.49K,0.58%
2229,2013-05-14,483.85,486.94,487.45,480.79,46.53K,-1.04%
2228,2013-05-15,485.97,482.82,487.52,481.8,37.55K,0.44%
2227,2013-05-16,490.34,486.0,491.44,485.28,49.81K,0.90%
2226,2013-05-17,487.6,489.99,491.85,487.6,50.05K,-0.56%
2225,2013-05-20,492.27,487.71,492.96,485.42,48.67K,0.96%
2224,2013-05-21,500.18,496.09,502.6,495.95,88.74K,1.61%
2223,2013-05-22,502.23,503.23,504.68,501.44,66.88K,0.41%
2222,2013-05-23,498.22,501.15,506.58,498.22,80.02K,-0.80%
2221,2013-05-24,500.24,498.77,503.6,495.96,62.52K,0.41%
2220,2013-05-27,512.41,504.38,516.08,504.38,93.33K,2.43%
2219,2013-05-28,516.33,515.62,517.97,512.81,87.43K,0.77%
2218,2013-05-29,515.09,517.91,520.36,511.31,99.72K,-0.24%
2217,2013-05-30,521.45,517.18,521.45,513.68,75.59K,1.23%
2216,2013-05-31,518.39,526.58,526.58,518.39,150.13K,-0.59%
2215,2013-06-03,517.03,518.3,521.35,516.64,75.93K,-0.26%
2214,2013-06-04,510.69,517.03,521.96,510.69,78.93K,-1.23%
2213,2013-06-05,514.64,512.37,514.64,508.86,56.29K,0.77%
2212,2013-06-06,520.9,513.43,521.28,513.16,72.25K,1.22%
2211,2013-06-07,527.97,523.21,527.97,523.19,74.55K,1.36%
2210,2013-06-10,524.56,530.97,533.15,524.56,94.17K,-0.65%
2209,2013-06-11,521.95,525.2,525.68,520.94,68.05K,-0.50%
2208,2013-06-12,518.24,521.21,524.91,518.24,70.56K,-0.71%
2207,2013-06-13,515.09,518.28,519.54,510.07,62.54K,-0.61%
2206,2013-06-14,509.03,517.14,518.0,509.03,60.67K,-1.18%
