,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
73,^VNINDEX,2001-01-31,245.8,245.8,245.8,245.8,6700,19.653223817430728,250.59942253162686,171.00657746837308,94.8366085030994,146.78635077260162,92.34137399926412,196.49133333333333,162.97733333333332,22.020000457763672,0.0
74,^VNINDEX,2001-02-02,250.23,250.23,250.23,250.23,24500,20.203464075433203,255.20511652303466,173.29788347696532,95.10987313845727,146.88965005908295,92.97262879456022,199.51233333333332,165.27266666666665,21.950000762939453,0.0
75,^VNINDEX,2001-02-05,254.96,254.96,254.96,254.96,2650,20.780682007900566,260.5971248327291,174.4078751672709,95.37994315215714,147.618859668907,93.57688438637344,202.59900000000002,167.64883333333333,22.190000534057617,0.0
76,^VNINDEX,2001-02-07,259.93,259.93,259.93,259.93,8800,21.391631540118738,265.39545449973457,177.15454550026547,95.64158279389194,147.42770084609725,94.14259221319567,205.74000000000004,170.07916666666668,21.670000076293945,0.0
77,^VNINDEX,2001-02-09,260.15,260.15,260.15,260.15,315450,21.643941669923976,269.2968422284245,180.5061577715755,95.65285606095973,136.05435555854422,94.16690169670743,208.89433333333332,172.48033333333333,22.030000686645508,0.0
78,^VNINDEX,2001-02-12,256.18,256.18,256.18,256.18,130600,21.278770543988628,271.6515680436852,184.65843195631487,91.24699643746526,116.43474252300986,79.77460398087459,211.89466666666667,174.78266666666667,21.920000076293945,0.0
79,^VNINDEX,2001-02-14,252.21,252.21,252.21,252.21,78280,20.433954133461214,272.80358179031055,189.24241820968948,87.0968956253324,99.06480215271952,66.57591382185086,214.7816666666667,177.01633333333334,21.520000457763672,0.0
80,^VNINDEX,2001-02-16,248.98,248.98,248.98,248.98,43570,19.281888851517067,273.1052851237199,193.98071487628005,83.8857248497198,84.76520835013942,56.5780095842963,217.45666666666665,179.19583333333333,22.1200008392334,0.0
81,^VNINDEX,2001-02-21,246.75,246.75,246.75,246.75,240100,16.711651976828733,271.8764923214936,203.9425076785064,81.19366527324908,69.51981219321337,48.58307805587484,222.319,183.44583333333333,25.75,0.0
82,^VNINDEX,2001-02-23,251.22,251.22,251.22,251.22,155300,15.929568993270124,271.22496074632244,209.03303925367754,82.15843273046174,77.53062886583844,53.01535072115319,224.75533333333334,185.638,27.209999084472656,0.0
